央视频道,#genre#
CCTV1,http://183.215.102.57:8089/180000001001/00000001000000000007000000001243/main.m3u8    湖南移动
CCTV2,http://183.215.102.57:8089/180000001001/00000001000000000008000000047431/main.m3u8
CCTV3,http://183.215.102.57:8089/180000001001/00000001000000000008000000047432/main.m3u8
CCTV4,http://183.215.102.57:8089/180000001001/00000001000000000008000000047433/main.m3u8
CCTV5,http://183.215.102.57:8089/180000001001/00000001000000000008000000047434/main.m3u8
CCTV6,http://183.215.102.57:8089/180000001001/00000001000000000008000000047435/main.m3u8
CCTV7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/main.m3u8
CCTV8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/main.m3u8
CCTV9,http://183.215.102.57:8089/180000001001/00000001000000000008000000047438/main.m3u8
CCTV10,http://183.215.102.57:8089/180000001001/00000001000000000008000000047439/main.m3u8
CCTV11,http://183.215.102.57:8089/180000001001/00000001000000000026000000446966/main.m3u8
CCTV12,http://183.215.102.57:8089/180000001001/00000001000000000008000000047440/main.m3u8
CCTV13,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/index.m3u8
CCTV13,http://39.135.47.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225787/index.m3u8
CCTV13,http://183.215.102.57:8089/180000001001/00000000000000020000000000182324/main.m3u8
CCTV14,http://183.215.102.57:8089/180000001001/00000001000000000008000000047441/main.m3u8
CCTV15,http://183.215.102.57:8089/180000001001/00000001000000000026000000446967/main.m3u8
CCTV17,http://183.215.102.57:8089/180000001001/00000001000000000025000000024152/main.m3u8
CCTV5+,http://183.215.102.57:8089/180000001001/00000001000000000008000000047442/main.m3u8
CETV1,http://183.215.102.57:8089/180000001001/00000001000000000016000000007220/main.m3u8
CGTN,http://183.215.102.57:8089/180000001001/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://183.215.102.57:8089/180000001001/00000000000000020000000000182305/main.m3u8


     
CCTV1,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/index.m3u8   北京移动PLTV
