央视频道,#genre#
CCTV-1综合,http://223.110.241.195:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/   
CCTV-2财经,http://223.110.241.195:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/
CCTV-3综艺,http://223.110.241.195:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/
CCTV-4国际,http://223.110.241.195:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/
CCTV-5体育,http://223.110.241.195:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-6高清,http://223.110.241.195:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/
CCTV-7军事农业,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/1.m3u8
CCTV-8高清,http://223.110.241.195:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/
CCTV-9纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/1.m3u8
CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/index.m3u8
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV-12社会与法,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV-13新闻,http://111.0.27.24/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/1.m3u8
CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+体育,http://223.110.241.195:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV-17农村农业,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/1.m3u8
CCTV4K超高清,http://39.134.185.69/PLTV/88888888/224/3221226758/index.m3u8


卫视频道,#genre#
湖南卫视,http://223.110.241.195:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
江苏卫视,http://223.110.241.195:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江苏卫视,http://223.110.241.195:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
浙江卫视,http://223.110.241.195:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
东方卫视,http://223.110.241.195:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
北京卫视,http://223.110.241.195:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
安徽卫视,http://223.110.241.195:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
黑龙江卫视,http://223.110.241.195:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
广东卫视,http://223.110.241.195:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
深圳卫视,http://223.110.241.195:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/
山东卫视,http://223.110.241.195:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
天津卫视,http://223.110.241.195:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
辽宁卫视,http://223.110.241.195:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/
湖北卫视,http://223.110.241.195:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225868/1.m3u8
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226885/1.m3u8
河南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225842/1.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225835/1.m3u8
贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225838/1.m3u8
云南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225853/1.m3u8
广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225836/1.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8
东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225833/1.m3u8
海南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225855/1.m3u8


港台新闻,#genre#
凤凰卫视中文台,http://112.50.243.12/PLTV/88888888/224/3221225900/index.m3u8 
凤凰卫视资讯台,http://112.50.243.12/PLTV/88888888/224/3221225901/index.m3u8
凤凰资讯HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
凤凰中文HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
凤凰中文官方,http://liveali.ifeng.com/live/FHZW.m3u8
凤凰资讯官方,http://liveali.ifeng.com/live/FHZX.m3u8
凤凰中文HD1,http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8
凤凰资讯HD1,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
凤凰中文高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8    
凤凰资讯高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8

纪实频道,#genre#
国家地理频道,http://iptv.pdsu.edu.cn/hls/natlgeo.m3u8
discovery,http://iptv.pdsu.edu.cn/hls/discovery.m3u8
CHANNEL[V],http://iptv.pdsu.edu.cn/hls/channelv.m3u8
全纪实,http://39.134.52.153/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226014/index.m3u8
求索记录,http://112.17.40.145/PLTV/88888888/224/3221226610/index.m3u8
纪实人文HD,http://112.50.243.12/PLTV/88888888/224/3221225946/index.m3u8  
纪实人文HD,http://112.50.243.12/PLTV/88888888/224/3221226958/1.m3u8     
纪实人文,http://39.135.33.12/PLTV/88888888/224/3221226522/index.m3u8      
纪实人文,http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227420/1.m3u8    
